t,u,x1,x2
0.0,0.3,1.6022423218436677,1.4596652650292194
0.10033444816053512,0.3,1.3066577706936109,1.6236329689329252
0.20066889632107024,0.3,1.0325575296542528,1.735474690198544
0.3010033444816054,0.3,1.0018810673592655,1.7462866538562496
0.4013377926421405,0.3,0.8957223549796896,1.7540319893052054
0.5016722408026756,0.3,0.7662092662102065,1.5546948081143965
0.6020066889632107,0.3,0.7474119883475968,1.4671020025582453
0.7023411371237458,0.3,0.8225673872912619,1.626627563190692
0.802675585284281,0.3,0.6838435709450855,1.5154723974769513
0.9030100334448161,0.3,0.6448064566386138,1.4676858701565143
1.0033444816053512,0.3,0.5084911790608962,1.5891589330994802
1.1036789297658862,0.3,0.43891855284519,1.36735802315401
1.2040133779264215,0.3,0.6284965590553688,1.2529187486470392
1.3043478260869565,0.3,0.41893147307073236,1.0366498643599797
1.4046822742474916,0.3,0.3713245344163763,1.1596381799708682
1.5050167224080269,0.3,0.5036640544205397,1.1675289206488377
1.605351170568562,0.3,0.3614087950945987,1.1602035730918483
1.705685618729097,0.3,0.28754261917894625,0.9452269712216986
1.8060200668896322,0.3,0.24877585622351162,0.8823476319820616
1.9063545150501673,0.3,0.2793784786158311,0.9278847787985645
2.0066889632107023,0.3,0.3901623913748975,0.8755859034143305
2.1070234113712374,0.3,0.2454401787771076,0.8307113316971706
2.2073578595317724,0.3,0.47563465602902544,0.7259365124700901
2.307692307692308,0.3,0.29252437217294114,0.6188813083052972
2.408026755852843,0.3,0.3160728540485427,0.6408289153643476
2.508361204013378,0.3,0.27359082364824905,0.5445471592360414
2.608695652173913,0.3,0.30182447756140135,0.47750565041466136
2.709030100334448,0.3,0.507958711013399,0.4313263637904376
2.809364548494983,0.3,0.280623158646254,0.2837016939836812
2.9096989966555187,0.3,0.6093897103489978,0.4335942239137922
3.0100334448160537,0.3,0.24696687276216917,0.45425003224091276
3.1103678929765888,0.3,0.5972910801622706,0.3356550389085366
3.210702341137124,0.3,0.5292311827958404,0.3861120540284465
3.311036789297659,0.3,0.554540704124445,0.3308423826020634
3.411371237458194,0.3,0.555541874808647,0.20663125511369168
3.511705685618729,0.3,0.4580065718513754,0.3501832329933302
3.6120401337792645,0.3,0.6490370095597764,0.10347889041631694
3.7123745819397995,0.3,0.7373584409133529,0.20588662358617255
3.8127090301003346,0.3,0.7605950465678114,0.36416997254783434
3.9130434782608696,0.3,0.5879488804559219,0.4520274083463304
4.013377926421405,0.3,0.822156121692654,-0.017421201668070374
4.11371237458194,0.3,0.7572925063298382,0.32985033230094646
4.214046822742475,0.3,0.880964583210492,0.25908087622506293
4.31438127090301,0.3,0.8544678820142935,0.44825362289871223
4.414715719063545,0.3,1.2269313192548124,0.26322752044388664
4.51505016722408,0.3,1.267133789052303,0.24123303488592818
4.615384615384616,0.3,1.2475621456372836,0.2234316865772234
4.7157190635451505,0.3,1.1174381191700653,0.29599160592166707
4.816053511705686,0.3,1.2654610865027491,0.17836179132130092
4.916387959866221,0.3,1.4877534970814246,0.4025185616808489
5.016722408026756,0.3,1.5452415911653106,0.35228311071220586
5.117056856187291,0.3,1.3752478530343668,0.21916705702386127
5.217391304347826,0.3,1.4998250397626836,0.30977837859763946
5.317725752508362,0.3,1.7211570049714173,0.254367214242657
5.418060200668896,0.3,1.8623036146939267,0.3762053131529402
5.518394648829432,0.3,2.146103874987891,0.5731322286289876
5.618729096989966,0.3,1.8948544298953391,0.40878913237879055
5.719063545150502,0.3,1.9218682364049444,0.41902548804231265
5.819397993311037,0.3,1.9656725747516566,0.7326728244316492
5.919732441471572,0.3,2.0930992697978055,0.602467087344722
6.0200668896321075,-0.3,2.276420212432976,0.7412350509626576
6.120401337792642,-0.3,2.4048915865221843,0.9941363880356822
6.2207357859531776,-0.3,2.572239303418931,0.9202913174906105
6.321070234113712,-0.3,2.3455702713847395,1.2662662278543932
6.421404682274248,-0.3,2.3429635561338094,1.6612538131110635
6.521739130434783,-0.3,2.233745557930067,1.4981927756651632
6.622073578595318,-0.3,2.3824567568523243,1.7600225169741721
6.722408026755853,-0.3,2.071977075161239,2.1299833440794727
6.822742474916388,-0.3,2.0815607472570345,2.3906795420500244
6.923076923076923,-0.3,2.0234720620213835,2.594028738631125
7.023411371237458,-0.3,1.7742687257543615,2.938233797560846
7.1237458193979935,-0.3,1.4489390534685724,3.007733740841229
7.224080267558529,-0.3,1.3402426292138285,3.3476808029869476
7.3244147157190636,-0.3,1.209570400600698,3.093405660068269
7.424749163879599,-0.3,1.2916809558248938,3.511494507867145
7.525083612040134,-0.3,1.0426457054529708,3.324488824240799
7.625418060200669,-0.3,0.9478247803956021,3.424136401329168
7.725752508361205,-0.3,0.6567381305055753,3.2989017413952086
7.826086956521739,-0.3,0.5384734867049801,3.304654362304493
7.926421404682275,-0.3,0.5815408277544794,3.091970918702814
8.02675585284281,0.3,0.41374166953946595,2.877107886420981
8.127090301003344,0.3,0.45803253755590856,2.6071253070356692
8.22742474916388,0.3,0.48230463426709913,2.558758186931883
8.327759197324415,0.3,0.15561586196264757,2.3931098828768
8.42809364548495,0.3,0.1365767721558018,2.2379381314796123
8.528428093645486,0.3,0.19554058467179505,2.040025695038646
8.62876254180602,0.3,-0.03218320415741349,1.8537486053982852
8.729096989966555,0.3,0.07425996646166691,1.7312955198056401
8.82943143812709,0.3,0.09754854916929215,1.4843362165984502
8.929765886287626,0.3,-0.053378458527163206,1.5039481684197737
9.03010033444816,0.3,-0.024792815235823523,1.1109828355565645
9.130434782608695,0.3,0.17323709631581513,1.108434459271652
9.230769230769232,0.3,-0.08352113891614125,1.0938439859106257
9.331103678929766,0.3,0.00984869351654706,1.0050961127975133
9.431438127090301,0.3,0.047888690600659034,0.8438051190186133
9.531772575250836,0.3,0.12932838524728518,0.7728027804860279
9.632107023411372,0.3,0.051944720388046386,0.5995765212530686
9.732441471571907,0.3,0.16074607817857017,0.5345551413406915
9.832775919732441,0.3,-0.10645635096763763,0.7038529528102737
9.933110367892978,0.3,0.18201662527778792,0.5724535996016751
10.033444816053512,-0.3,0.3014816734190244,0.68436314490051
10.133779264214047,-0.3,0.12025495267431488,0.2750435800138899
10.234113712374581,-0.3,0.2091263599048479,0.7547832037801643
10.334448160535118,-0.3,0.08288474997461126,0.28073136116068287
10.434782608695652,-0.3,0.26829787527237337,0.26209941777083007
10.535117056856187,-0.3,0.1920645781995347,0.3246685443288282
10.635451505016723,-0.3,0.1705339195348465,0.17930255137181283
10.735785953177258,-0.3,0.07274846339599145,0.13774870159685723
10.836120401337793,-0.3,0.1896608783460377,0.09084216986461577
10.936454849498329,-0.3,0.24049650123853172,0.1432266698327905
11.036789297658864,-0.3,0.12545949464641842,0.15146182894548924
11.137123745819398,-0.3,0.19766686397165878,0.2667146348781143
11.237458193979933,-0.3,0.20394755982764823,0.12994251296014242
11.33779264214047,-0.3,0.42164656662100347,0.24676709612420258
11.438127090301004,-0.3,0.22915089432843044,0.1555769382835499
11.538461538461538,-0.3,0.17119135414926234,0.10860595026898058
11.638795986622075,-0.3,0.1078334443097427,0.03363272152806304
11.73913043478261,-0.3,0.3828623853915785,0.22919665773132708
11.839464882943144,-0.3,0.18162826403519264,0.11474954156271477
11.939799331103679,-0.3,0.3019119297671795,0.2939020634812823
12.040133779264215,-0.3,0.5844496289579956,0.09465072979082918
12.14046822742475,-0.3,0.2742216337810437,0.06441124563058609
12.240802675585284,-0.3,0.389760877097329,0.09206080003357443
12.34113712374582,-0.3,0.4627193546399174,0.2097743950267656
12.441471571906355,-0.3,0.6659704963586717,0.0048845049585656
12.54180602006689,-0.3,0.6357443473440163,0.08137445076690729
12.642140468227424,-0.3,0.7285461231685447,0.017130799263194857
12.74247491638796,-0.3,0.7909386794085782,0.20664328296102813
12.842809364548495,-0.3,1.0324025135077,0.16900648860249862
12.94314381270903,-0.3,0.7817177605265567,0.15511700982114485
13.043478260869566,-0.3,0.9400862189507895,0.0516108147314042
13.143812709030101,-0.3,1.2504261179561615,0.13395145929645724
13.244147157190636,-0.3,1.3231179016966017,0.16135711432760413
13.34448160535117,-0.3,1.4765857599001513,0.12271474084295239
